Episode 329/10000, Avg Reward: 704.04, Explained Var: 0.01
Episode 330/10000, Avg Reward: 483.15, Explained Var: 0.01
Episode 331/10000, Avg Reward: 331.93, Explained Var: 0.03
Episode 332/10000, Avg Reward: 95.20, Explained Var: 0.07
Episode 333/10000, Avg Reward: 1073.12, Explained Var: 0.01
Episode 334/10000, Avg Reward: 353.50, Explained Var: 0.02
Episode 335/10000, Avg Reward: 19.61, Explained Var: 0.28
Episode 336/10000, Avg Reward: 574.39, Explained Var: 0.02
Episode 337/10000, Avg Reward: 26.14, Explained Var: 0.28
Episode 338/10000, Avg Reward: 392.48, Explained Var: 0.03
Episode 339/10000, Avg Reward: 204.67, Explained Var: 0.04
Episode 340/10000, Avg Reward: 96.45, Explained Var: 0.11
Episode 341/10000, Avg Reward: 611.64, Explained Var: 0.02
Episode 342/10000, Avg Reward: 682.23, Explained Var: 0.02
Episode 343/10000, Avg Reward: 27.62, Explained Var: 0.20
Episode 344/10000, Avg Reward: 138.92, Explained Var: 0.04
Episode 345/10000, Avg Reward: 359.90, Explained Var: 0.03
Episode 346/10000, Avg Reward: 766.50, Explained Var: 0.01
Episode 347/10000, Avg Reward: 47.01, Explained Var: 0.16
Episode 348/10000, Avg Reward: 40.03, Explained Var: 0.22
Episode 349/10000, Avg Reward: 24.45, Explained Var: 0.28
Episode 350/10000, Avg Reward: 1030.96, Explained Var: 0.01
Episode 351/10000, Avg Reward: 487.26, Explained Var: 0.02
Episode 352/10000, Avg Reward: 139.42, Explained Var: 0.05
Episode 353/10000, Avg Reward: 142.68, Explained Var: 0.06
Episode 354/10000, Avg Reward: 20.09, Explained Var: 0.28
Episode 355/10000, Avg Reward: 25.10, Explained Var: 0.26
Episode 356/10000, Avg Reward: 511.21, Explained Var: 0.02
Episode 357/10000, Avg Reward: 794.32, Explained Var: 0.01
Episode 358/10000, Avg Reward: 42.17, Explained Var: 0.27
Episode 359/10000, Avg Reward: 247.44, Explained Var: 0.04
Episode 360/10000, Avg Reward: 340.82, Explained Var: 0.03
Episode 361/10000, Avg Reward: 23.77, Explained Var: 0.25
Episode 362/10000, Avg Reward: 108.75, Explained Var: 0.06
Episode 363/10000, Avg Reward: 211.84, Explained Var: 0.05
Episode 364/10000, Avg Reward: 958.37, Explained Var: 0.01
Episode 365/10000, Avg Reward: 604.57, Explained Var: 0.01
