Episode 386/10000, Avg Reward: 420.41, Explained Var: 0.02
Episode 387/10000, Avg Reward: 258.59, Explained Var: 0.04
Episode 388/10000, Avg Reward: 1226.20, Explained Var: 0.01
Episode 389/10000, Avg Reward: 424.87, Explained Var: 0.02
Episode 390/10000, Avg Reward: 710.17, Explained Var: 0.02
Episode 391/10000, Avg Reward: 586.37, Explained Var: 0.02
Episode 392/10000, Avg Reward: 222.00, Explained Var: 0.04
Episode 393/10000, Avg Reward: 338.21, Explained Var: 0.03
Episode 394/10000, Avg Reward: 174.57, Explained Var: 0.05
Episode 395/10000, Avg Reward: 426.04, Explained Var: 0.02
Episode 396/10000, Avg Reward: 453.89, Explained Var: 0.03
Episode 397/10000, Avg Reward: 830.58, Explained Var: 0.02
Episode 398/10000, Avg Reward: 98.54, Explained Var: 0.09
Episode 399/10000, Avg Reward: 953.33, Explained Var: 0.02
Episode 400/10000, Avg Reward: 601.92, Explained Var: 0.02
Episode 401/10000, Avg Reward: 277.79, Explained Var: 0.04
Episode 402/10000, Avg Reward: 615.11, Explained Var: 0.02
Episode 403/10000, Avg Reward: 222.03, Explained Var: 0.05
Episode 404/10000, Avg Reward: 94.83, Explained Var: 0.10
Episode 405/10000, Avg Reward: 454.51, Explained Var: 0.02
Episode 406/10000, Avg Reward: 637.20, Explained Var: 0.02
Episode 407/10000, Avg Reward: 271.87, Explained Var: 0.04
Episode 408/10000, Avg Reward: 1122.63, Explained Var: 0.01
Episode 409/10000, Avg Reward: 1234.25, Explained Var: 0.01
Episode 410/10000, Avg Reward: 426.23, Explained Var: 0.03
Episode 411/10000, Avg Reward: 446.65, Explained Var: 0.02
Episode 412/10000, Avg Reward: 585.44, Explained Var: 0.02
Episode 413/10000, Avg Reward: 1130.45, Explained Var: 0.01
Episode 414/10000, Avg Reward: 114.14, Explained Var: 0.10
Episode 415/10000, Avg Reward: 1035.80, Explained Var: 0.02
Episode 416/10000, Avg Reward: 416.00, Explained Var: 0.03
Episode 417/10000, Avg Reward: 139.50, Explained Var: 0.04
Episode 418/10000, Avg Reward: 482.43, Explained Var: 0.03
Episode 419/10000, Avg Reward: 506.57, Explained Var: 0.02
Episode 420/10000, Avg Reward: 813.13, Explained Var: 0.01
Episode 421/10000, Avg Reward: 888.82, Explained Var: 0.02
Episode 422/10000, Avg Reward: 1003.26, Explained Var: 0.01
Episode 423/10000, Avg Reward: 136.96, Explained Var: 0.09
Episode 424/10000, Avg Reward: 446.50, Explained Var: 0.03
Episode 425/10000, Avg Reward: 430.27, Explained Var: 0.03
Episode 426/10000, Avg Reward: 129.01, Explained Var: 0.14
Episode 427/10000, Avg Reward: 225.80, Explained Var: 0.05
Episode 428/10000, Avg Reward: 892.78, Explained Var: 0.01
Episode 429/10000, Avg Reward: 496.40, Explained Var: 0.02
Episode 430/10000, Avg Reward: 463.39, Explained Var: 0.03
Episode 431/10000, Avg Reward: 1113.37, Explained Var: 0.01
Episode 432/10000, Avg Reward: 495.57, Explained Var: 0.04
Episode 433/10000, Avg Reward: 660.54, Explained Var: 0.03
Episode 434/10000, Avg Reward: 726.25, Explained Var: 0.01
Episode 435/10000, Avg Reward: 410.43, Explained Var: 0.03
Episode 436/10000, Avg Reward: 347.09, Explained Var: 0.03
