Episode 359/10000, Avg Reward: 216.06, Explained Var: 0.04
Episode 360/10000, Avg Reward: 398.77, Explained Var: 0.02
Episode 361/10000, Avg Reward: 683.70, Explained Var: 0.01
Episode 362/10000, Avg Reward: 553.39, Explained Var: 0.02
Episode 363/10000, Avg Reward: 22.45, Explained Var: 0.31
Episode 364/10000, Avg Reward: 403.19, Explained Var: 0.02
Episode 365/10000, Avg Reward: 45.35, Explained Var: 0.16
Episode 366/10000, Avg Reward: 279.87, Explained Var: 0.04
Episode 367/10000, Avg Reward: 44.86, Explained Var: 0.18
Episode 368/10000, Avg Reward: 38.33, Explained Var: 0.21
Episode 369/10000, Avg Reward: 63.31, Explained Var: 0.23
Episode 370/10000, Avg Reward: 349.11, Explained Var: 0.03
Episode 371/10000, Avg Reward: 421.93, Explained Var: 0.02
Episode 372/10000, Avg Reward: 417.05, Explained Var: 0.02
Episode 373/10000, Avg Reward: 241.75, Explained Var: 0.03
Episode 374/10000, Avg Reward: 696.27, Explained Var: 0.02
Episode 375/10000, Avg Reward: 467.07, Explained Var: 0.02
Episode 376/10000, Avg Reward: 26.67, Explained Var: 0.32
Episode 377/10000, Avg Reward: 244.77, Explained Var: 0.04
Episode 378/10000, Avg Reward: 98.79, Explained Var: 0.07
Episode 379/10000, Avg Reward: 253.15, Explained Var: 0.04
Episode 380/10000, Avg Reward: 607.40, Explained Var: 0.02
Episode 381/10000, Avg Reward: 37.09, Explained Var: 0.26
Episode 382/10000, Avg Reward: 894.10, Explained Var: 0.01
Episode 383/10000, Avg Reward: 27.75, Explained Var: 0.31
Episode 384/10000, Avg Reward: 289.92, Explained Var: 0.02
Episode 385/10000, Avg Reward: 550.93, Explained Var: 0.02
Episode 386/10000, Avg Reward: 22.50, Explained Var: 0.30
Episode 387/10000, Avg Reward: 452.51, Explained Var: 0.03
Episode 388/10000, Avg Reward: 466.82, Explained Var: 0.02
Episode 389/10000, Avg Reward: 133.48, Explained Var: 0.07
Episode 390/10000, Avg Reward: 1080.76, Explained Var: 0.01
Episode 391/10000, Avg Reward: 53.04, Explained Var: 0.18
Episode 392/10000, Avg Reward: 568.33, Explained Var: 0.02
Episode 393/10000, Avg Reward: 484.11, Explained Var: 0.02
Episode 394/10000, Avg Reward: 121.50, Explained Var: 0.08
Episode 395/10000, Avg Reward: 23.91, Explained Var: 0.34
Episode 396/10000, Avg Reward: 123.45, Explained Var: 0.08
Episode 397/10000, Avg Reward: 687.77, Explained Var: 0.02
Episode 398/10000, Avg Reward: 141.99, Explained Var: 0.08
Episode 399/10000, Avg Reward: 138.49, Explained Var: 0.12
Episode 400/10000, Avg Reward: 22.88, Explained Var: 0.34
