sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
superderivatives,93154,"['super', 'derivatives']",2,16,7,9,43.75
hiddensexwatch,92438,"['hidden', 'sex', 'watch']",3,14,4,10,28.57
freedownloadscenter,92271,"['free', 'downloads', 'center']",3,19,7,12,36.84
uni-frankfurt,91428,"['uni', 'frankfurt']",2,13,4,9,30.77
zhongfuauction,91358,"['zhong', 'auction']",2,14,6,8,42.86
tafjordconnect,91332,"['fjord', 'connect']",2,14,4,10,28.57
uni-bielefeld,91132,"['uni', 'bielefeld']",2,13,6,7,46.15
hotblognetwork,90638,"['hot', 'blog', 'network']",3,14,4,10,28.57
maraizi-enoal,90474,"['mar', 'aiz', 'eno']",3,13,7,6,53.85
highcpmrevenuegate,90380,"['high', 'revenue', 'gate']",3,18,7,11,38.89
americommerce,89938,"['meri', 'commerce']",2,13,6,7,46.15
whitegenerator,89658,"['white', 'generator']",2,14,6,8,42.86
sdncommunications,89309,['communications'],1,17,6,11,35.29
theupsstorelocal,88994,"['the', 'ups', 'store', 'local']",4,16,6,10,37.5
breezeprojects,88467,"['breeze', 'projects']",2,14,5,9,35.71
heading-century,88347,"['heading', 'century']",2,15,5,10,33.33
schedom-europe,88208,"['sch', 'edom', 'europe']",3,14,6,8,42.86
xenapponazure,87726,"['xena', 'azure']",2,13,6,7,46.15
referralcandy,87634,"['referral', 'candy']",2,13,4,9,30.77
getusermanual,86986,"['get', 'user', 'manual']",3,13,6,7,46.15
financeeastmoney,86974,"['finance', 'east', 'money']",3,16,7,9,43.75
discountstoresdir,86676,"['discount', 'stores', 'dir']",3,17,6,11,35.29
telecablesantapola,86028,"['tele', 'cable', 'santa', 'pola']",4,18,8,10,44.44
edelundstein-saar,85968,"['edel', 'und', 'stein', 'saar']",4,17,7,10,41.18
coremedictravel,85848,"['core', 'medic', 'travel']",3,15,6,9,40.0
somersetpharm,85686,"['somerset', 'harm']",2,13,4,9,30.77
webspacemania,85680,"['web', 'space', 'mania']",3,13,6,7,46.15
softsyshosting,85427,"['soft', 'hosting']",2,14,3,11,21.43
enginefaultcode,84935,"['engine', 'fault', 'code']",3,15,7,8,46.67
legal-aid-311,84546,"['legal', 'aid', '311']",3,13,4,9,30.77
comcastbusiness,84360,"['comcast', 'business']",2,15,5,10,33.33
championbroadband,84330,"['champion', 'broadband']",2,17,6,11,35.29
plentysystems,84290,"['plenty', 'systems']",2,13,2,11,15.38
profinda-staging,84213,"['pro', 'find', 'staging']",3,16,5,11,31.25
hostedmxserver,84024,"['hosted', 'server']",2,14,4,10,28.57
znakomstva-intim,83844,"['kom', 'stv', 'tim']",3,16,5,11,31.25
curanetserver,83799,"['cura', 'net', 'server']",3,13,5,8,38.46
freshmarketeer,83797,"['fresh', 'market']",2,14,5,9,35.71
ningboershouche,83772,"['ning', 'boer', 'shou', 'che']",4,15,6,9,40.0
nastyvideodating,82997,"['nasty', 'video', 'dating']",3,16,6,10,37.5
metalsilver-overdrive,82588,"['metal', 'silver', 'overdrive']",3,21,8,13,38.1
