Episode 416/10000, Avg Reward: 399.00, Explained Var: 0.03
Episode 417/10000, Avg Reward: 1002.52, Explained Var: 0.01
Episode 418/10000, Avg Reward: 266.56, Explained Var: 0.04
Episode 419/10000, Avg Reward: 465.33, Explained Var: 0.02
Episode 420/10000, Avg Reward: 888.39, Explained Var: 0.02
Episode 421/10000, Avg Reward: 570.96, Explained Var: 0.02
Episode 422/10000, Avg Reward: 354.46, Explained Var: 0.03
Episode 423/10000, Avg Reward: 106.66, Explained Var: 0.13
Episode 424/10000, Avg Reward: 323.17, Explained Var: 0.03
Episode 425/10000, Avg Reward: 830.14, Explained Var: 0.02
Episode 426/10000, Avg Reward: 112.88, Explained Var: 0.13
Episode 427/10000, Avg Reward: 269.55, Explained Var: 0.04
Episode 428/10000, Avg Reward: 426.30, Explained Var: 0.03
Episode 429/10000, Avg Reward: 131.66, Explained Var: 0.09
Episode 430/10000, Avg Reward: 788.54, Explained Var: 0.01
Episode 431/10000, Avg Reward: 584.28, Explained Var: 0.02
Episode 432/10000, Avg Reward: 424.65, Explained Var: 0.03
Episode 433/10000, Avg Reward: 131.12, Explained Var: 0.12
Episode 434/10000, Avg Reward: 426.09, Explained Var: 0.03
Episode 435/10000, Avg Reward: 416.78, Explained Var: 0.03
Episode 436/10000, Avg Reward: 495.97, Explained Var: 0.02
